GeneratedTopic,How,Others,What,Why,How_Percentage,Others_Percentage,What_Percentage,Why_Percentage
0,52,249,21,7,15.80547112462006,75.6838905775076,6.382978723404255,2.127659574468085
1,13,38,3,3,22.807017543859647,66.66666666666666,5.263157894736842,5.263157894736842
2,15,45,5,0,23.076923076923077,69.23076923076923,7.6923076923076925,0.0
3,13,36,6,1,23.214285714285715,64.28571428571429,10.714285714285714,1.7857142857142856
4,79,407,33,9,14.962121212121213,77.08333333333334,6.25,1.7045454545454544
5,157,684,70,41,16.491596638655462,71.84873949579831,7.352941176470589,4.30672268907563
6,5,13,1,2,23.809523809523807,61.904761904761905,4.761904761904762,9.523809523809524
7,6,31,4,4,13.333333333333334,68.88888888888889,8.88888888888889,8.88888888888889
8,958,4797,475,149,15.018027904060197,75.1998745884935,7.4463081987772375,2.3357893086690704
9,30,93,16,1,21.428571428571427,66.42857142857143,11.428571428571429,0.7142857142857143
