GeneratedTopic,TotalQuestions,UnansweredQuestions,PctQWoAcceptedAnswer,MedHrsToGetAccAns,PctQWoAcceptedAnswerNorm,MedHrsToGetAccAnsNorm,FusedDifficulty
0,329,160,48.632218844984806,19.77864277777778,3.9883510106592537,2.305520211154559,3.1469356109069064
1,57,23,40.35087719298245,67.9892888888889,3.3091943089537907,7.92524954500296,5.617221926978376
2,65,46,70.76923076923077,32.434979722222224,5.803817711088187,3.780820662881371,4.792319186984779
3,56,23,41.07142857142857,60.94595180555556,3.3682870644708225,7.104234868614539,5.236260966542681
4,528,247,46.78030303030303,22.686771805555555,3.836474528636398,2.6445096112624378,3.240492069949418
5,952,478,50.21008403361344,26.72202486111111,4.117752472677886,3.114883518169704,3.6163179954237945
6,21,9,42.857142857142854,22.36206111111111,3.5147343281434673,2.6066593362344253,3.0606968321889463
7,45,17,37.77777777777778,25.51839638888889,3.098173222585723,2.974581182938328,3.0363772027620257
8,6379,3190,50.00783821915661,20.535125,4.101166198852674,2.3937004302074056,3.24743331453004
9,140,83,59.285714285714285,44.17955555555555,4.862049153931797,5.149840633534264,5.00594489373303
